run,tag,count,first_step,first_value,last_step,last_value,best_value,min_value
errnet_aug_struct_ft,eval/testdata_objects/LMSE,13,60,0.0029320535250008106,71,0.003198595019057393,0.0035616981331259012,0.002728438703343272
errnet_aug_struct_ft,eval/testdata_objects/NCC,13,60,0.9817146062850952,71,0.9830332398414612,0.9831806421279907,0.9808880090713501
errnet_aug_struct_ft,eval/testdata_objects/PSNR,13,60,24.853036880493164,71,24.06619644165039,25.250829696655273,23.803667068481445
errnet_aug_struct_ft,eval/testdata_objects/SSIM,13,60,0.8980403542518616,71,0.8965190052986145,0.9068319797515869,0.8917476534843445
errnet_aug_struct_ft,eval/testdata_postcard/LMSE,13,60,0.004388982430100441,71,0.004363587591797113,0.0051801567897200584,0.004065503366291523
errnet_aug_struct_ft,eval/testdata_postcard/NCC,13,60,0.9462738633155823,71,0.9461252093315125,0.9515665769577026,0.9298327565193176
errnet_aug_struct_ft,eval/testdata_postcard/PSNR,13,60,22.0710391998291,71,21.73002815246582,22.440279006958008,21.347898483276367
errnet_aug_struct_ft,eval/testdata_postcard/SSIM,13,60,0.8772904276847839,71,0.8773669004440308,0.886063277721405,0.8678784370422363
errnet_aug_struct_ft,eval/testdata_real/LMSE,13,60,0.020101482048630714,71,0.020836161449551582,0.020836161449551582,0.01911359652876854
errnet_aug_struct_ft,eval/testdata_real/NCC,13,60,0.8877345323562622,71,0.8783348202705383,0.8999339938163757,0.8783348202705383
errnet_aug_struct_ft,eval/testdata_real/PSNR,13,60,23.553102493286133,71,23.12615966796875,23.742937088012695,22.975095748901367
errnet_aug_struct_ft,eval/testdata_real/SSIM,13,60,0.828466534614563,71,0.822056770324707,0.8328517079353333,0.8205006718635559
errnet_aug_struct_ft,eval/testdata_table2/LMSE,13,60,0.0048349518328905106,71,0.00477784825488925,0.005123799666762352,0.004626907873898745
errnet_aug_struct_ft,eval/testdata_table2/NCC,13,60,0.9807964563369751,71,0.9784147143363953,0.9807964563369751,0.9757265448570251
errnet_aug_struct_ft,eval/testdata_table2/PSNR,13,60,27.876651763916016,71,24.836811065673828,27.876651763916016,24.836811065673828
errnet_aug_struct_ft,eval/testdata_table2/SSIM,13,60,0.9406821727752686,71,0.9257662296295166,0.9406821727752686,0.9257662296295166
errnet_aug_struct_ft,eval/testdata_wild/LMSE,13,60,0.008292300626635551,71,0.00718335248529911,0.008292300626635551,0.004934331402182579
errnet_aug_struct_ft,eval/testdata_wild/NCC,13,60,0.9359269142150879,71,0.9344078302383423,0.9512583613395691,0.9337759613990784
errnet_aug_struct_ft,eval/testdata_wild/PSNR,13,60,25.1761417388916,71,24.50346565246582,25.580686569213867,24.50346565246582
errnet_aug_struct_ft,eval/testdata_wild/SSIM,13,60,0.8860812783241272,71,0.8991386294364929,0.9127918481826782,0.8860812783241272
errnet_aug_struct_ft,train/IPixel,93676,463920,0.032329581677913666,557595,0.05591583251953125,0.09441728889942169,0.020974911749362946
