run,event_file,tag,step,wall_time,value
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_real/LMSE,60,1780466702.8011818,0.020997073501348495
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_real/LMSE,60,1780467044.3079991,0.01979868859052658
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_real/NCC,60,1780466329.778372,0.8877345323562622
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_real/NCC,60,1780466702.801203,0.8802111744880676
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_real/NCC,60,1780467044.3080215,0.8843933939933777
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_objects/PSNR,60,1780466386.3959227,24.853036880493164
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_objects/PSNR,60,1780466757.3375306,24.481531143188477
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_objects/PSNR,60,1780467099.3274689,24.663864135742188
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_objects/SSIM,60,1780466386.3959818,0.8980403542518616
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_objects/SSIM,60,1780466757.3375893,0.8974400162696838
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_objects/SSIM,60,1780467099.327528,0.9005833268165588
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_objects/LMSE,60,1780466386.396015,0.0029320535250008106
errnet_aug_struct_ft_old_composite_score,checkpoints/errnet_aug_struct_ft_old_composite_score/logs/Jun03_13-58-21_bitahub-a19991981350187008354918/events.out.tfevents.1780466301.bitahub-a19991981350187008354918,eval/testdata_objects/LMSE,60,1780466757.3376195,0.003138728206977248
